Date,Country,City,Specie,count,min,max,median,variance
27/11/2024,CN,Beijing,pm25,230,9,65,21,1338.98
28/11/2024,CN,Beijing,pm25,233,13,65,25,1706.38
29/11/2024,CN,Beijing,pm25,281,13,112,57,5598.18
30/11/2024,CN,Beijing,pm25,285,25,155,74,3830.91
1/12/2024,CN,Beijing,pm25,286,13,160,104,15991.9
2/12/2024,CN,Beijing,pm25,156,5,65,17,2631.06
3/12/2024,CN,Beijing,pm25,282,13,137,59,6346.21
4/12/2024,CN,Beijing,pm25,284,17,161,53,14768.6
5/12/2024,CN,Beijing,pm25,251,17,137,34,2419.18
6/12/2024,CN,Beijing,pm25,279,13,80,46,2988.81
7/12/2024,CN,Beijing,pm25,257,13,63,30,997.98
8/12/2024,CN,Beijing,pm25,258,21,124,38,5404.37
9/12/2024,CN,Beijing,pm25,285,46,152,78,4719.53
10/12/2024,CN,Beijing,pm25,282,38,152,63,4341.37
11/12/2024,CN,Beijing,pm25,287,42,151,63,6090.96
12/12/2024,CN,Beijing,pm25,287,50,169,122,6378.17
13/12/2024,CN,Beijing,pm25,275,21,161,42,1978.86
14/12/2024,CN,Beijing,pm25,270,21,89,38,1548.87
15/12/2024,CN,Beijing,pm25,272,21,99,46,3445.53
16/12/2024,CN,Beijing,pm25,283,30,132,53,4843.8
17/12/2024,CN,Beijing,pm25,274,13,109,30,1829.96
18/12/2024,CN,Beijing,pm25,233,9,74,25,3091.88
19/12/2024,CN,Beijing,pm25,287,25,151,80,8450.49
20/12/2024,CN,Beijing,pm25,282,25,152,59,11213.1
21/12/2024,CN,Beijing,pm25,234,13,57,25,733.36
22/12/2024,CN,Beijing,pm25,251,17,122,42,5907.94
23/12/2024,CN,Beijing,pm25,276,21,139,74,5558.41
24/12/2024,CN,Beijing,pm25,287,59,186,124,10654.6
25/12/2024,CN,Beijing,pm25,278,34,187,82,28460.1
26/12/2024,CN,Beijing,pm25,244,25,87,42,1504.15
27/12/2024,CN,Beijing,pm25,251,13,61,30,1056.1
28/12/2024,CN,Beijing,pm25,279,17,107,46,3561.29
29/12/2024,CN,Beijing,pm25,285,53,165,85,11662.6
30/12/2024,CN,Beijing,pm25,284,25,160,65,15245.1
31/12/2024,CN,Beijing,pm25,285,30,163,65,11846.4
1/1/2025,CN,Beijing,pm25,283,30,160,70,3908.22
2/1/2025,CN,Beijing,pm25,280,13,87,34,3156.33
3/1/2025,CN,Beijing,pm25,258,13,122,61,8992.54
4/1/2025,CN,Beijing,pm25,265,55,162,89,8125.08
5/1/2025,CN,Beijing,pm25,269,13,160,72,13755.8
6/1/2025,CN,Beijing,pm25,276,13,78,25,1575.24
7/1/2025,CN,Beijing,pm25,244,9,70,17,1333.67
8/1/2025,CN,Beijing,pm25,223,9,68,21,1349.69
9/1/2025,CN,Beijing,pm25,255,13,68,30,2003.05
10/1/2025,CN,Beijing,pm25,284,21,102,42,2829.01
